Plot,Spp,Pct_cover
DES1014,JUOS,0.06
DES1014,PIMO,0.21
DES1014120,JUOS,0.13
DES1014120,PIMO,0.25
DES1014240,JUOS,0.1
DES1014240,PIMO,0.09
DES1014360,JUOS,0.07
DES1014360,PIMO,0.29
DES105,PIMO,0.24
DES105120,PIMO,0.1
DES105240,JUOS,0.06
DES105240,PIMO,0.09
DES105360,PIMO,0.25
DES998,JUOS,0.11
DES998,PIMO,0.55
DES998120,JUOS,0.03
DES998120,PIMO,0.04
DES998240,JUOS,0.06
DES998240,PIMO,0.18
DES998360,JUOS,0.08
DES998360,PIMO,0.05
DIA248,CELE,0.12
DIA248,PIMO,0.09
DIA248120,PIMO,0.1
DIA248240,PIMO,0.17
DIA248360,CELE,0.11
DIA248360,PIMO,0.11
DIA333,JUOS,0.21
DIA333,PIMO,0.35
DIA333120,JUOS,0.1
DIA333120,PIMO,0.23
DIA333240,JUOS,0.05
DIA333240,PIMO,0.43
DIA333360,JUOS,0.11
DIA333360,PIMO,0.25
FC791,JUOS,0.1
FC791,PIMO,0.27
FC791120,JUOS,0.12
FC791120,PIMO,0.13
FC791240,JUOS,0.16
FC791240,PIMO,0.08
FC791360,JUOS,0.09
FC791360,PIMO,0.21
FC795,JUOS,0.11
FC795,PIMO,0.06
FC795120,JUOS,0.13
FC795240,JUOS,0.21
FC795240,PIMO,0.07
FC795360,JUOS,0.58
FC795360,PIMO,0.03
NP342,JUOS,0.06
NP342,PIMO,0.06
NP342120,JUOS,0.12
NP342120,PIMO,0.27
NP342240,JUOS,0.08
NP342240,PIMO,0.09
NP342360,JUOS,0.18
NP342360,PIMO,0.04
NPELECTRICEEL,JUOS,0.03
NPELECTRICEEL,PIMO,0.35
NPELECTRICEEL120,JUOS,0.15
NPELECTRICEEL120,PIMO,0.3
NPELECTRICEEL240,JUOS,0.03
NPELECTRICEEL240,PIMO,0.31
NPELECTRICEEL360,JUOS,0.05
NPELECTRICEEL360,PIMO,0.4
RAV339,JUOS,0.37
RAV339,PIMO,0.02
RAV339120,JUOS,0.27
RAV339120,PIMO,0.31
RAV339240,JUOS,0.18
RAV339240,PIMO,0.23
RAV339360,JUOS,0.17
RAV339360,PIMO,0.33
RAV358,JUOS,0.08
RAV358,PIMO,0.11
RAV358120,JUOS,9.80E-03
RAV358120,PIMO,0.03
RAV358240,JUOS,0.08
RAV358240,PIMO,0.21
RAV358360,JUOS,0.15
RAV358360,PIMO,0.12
ROB926,JUOS,0.07
ROB926,PIMO,0.15
ROB926120,JUOS,0.12
ROB926120,PIMO,0.41
ROB926240,JUOS,0.25
ROB926240,PIMO,0.06
ROB926360,JUOS,0.06
ROB926360,PIMO,0.22
ROB938,JUOS,0.35
ROB938,PIMO,0.25
ROB938120,CELE,0.07
ROB938120,JUOS,0.21
ROB938120,PIMO,0.4
ROB938240,JUOS,0.09
ROB938240,PIMO,0.48
ROB938360,JUOS,0.12
ROB938360,PIMO,0.34
SHO424,JUOS,0.19
SHO424,PIMO,0.17
SHO424120,JUOS,0.11
SHO424120,PIMO,0.24
SHO424240,JUOS,0.1
SHO424240,PIMO,0.26
SHO424360,JUOS,0.1
SHO424360,PIMO,0.38
SHO446120,PIMO,0.11
SHO446240,PIMO,0.04
SHO446360,PIMO,0.25
SPR1575,JUOS,0.25
SPR1575,PIMO,0.16
SPR1575120,JUOS,0.26
SPR1575120,PIMO,0.25
SPR1575240,JUOS,0.19
SPR1575240,PIMO,0.23
SPR1575360,JUOS,0.13
SPR1575360,PIMO,0.15
SPR1620,JUOS,0.02
SPR1620,PIMO,0.25
SPR1620240,JUOS,0.05
SPR1620240,PIMO,0.23
SPR1620360,PIMO,0.29
SS256,JUOS,0.16
SS256,PIMO,0.05
SS256120,JUOS,0.25
SS256120,PIMO,0.19
SS256240,JUOS,0.42
SS256240,PIMO,0.15
SS256360,JUOS,0.2
SS256360,PIMO,0.17
SS32,JUOS,0.09
SS32,PIMO,0.1
SS32120,JUOS,0.08
SS32120,PIMO,0.13
SS32240,JUOS,0.17
SS32240,PIMO,0.08
SS32360,JUOS,0.13
SS32360,PIMO,0.15
SS452,JUOS,0.07
SS452,PIMO,0.1
SS452120,JUOS,0.02
SS452120,PIMO,0.12
SS452240,JUOS,0.14
SS452240,PIMO,0.27
SS452360,JUOS,0.09
SS452360,PIMO,0.19
SS604,JUOS,0.11
SS604,PIMO,0.28
SS604120,JUOS,0.14
SS604120,PIMO,0.07
SS604240,JUOS,0.1
SS604240,PIMO,0.09
SS604360,JUOS,0.12
SS604360,PIMO,0.09
TOI1577,JUOS,0.02
TOI1577,PIMO,0.47
TOI1577360,CELE,6.30E-03
TOI1577360,JUOS,0.17
TOI1577360,PIMO,0.09
TOI1596,PIMO,0.3
TOI1596120,CELE,6.30E-03
TOI1596120,PIMO,0.37
TOI1596240,CELE,6.30E-03
TOI1596240,JUOS,0.04
TOI1596240,PIMO,0.35
TOI1596360,PIMO,0.13
TOI533,JUOS,0.29
TOI533,PIMO,0.27
TOI533120,JUOS,0.32
TOI533120,PIMO,0.35
TOI533240,JUOS,0.42
TOI533240,PIMO,0.14
TOI533360,JUOS,0.28
TOI533360,PIMO,0.14
WHIS25,JUOS,0.18
WHIS25,PIMO,0.19
WHIS25120,JUOS,0.09
WHIS25120,PIMO,0.18
WHIS25240,JUOS,0.14
WHIS25240,PIMO,0.23
WHIS25360,JUOS,0.18
WHIS25360,PIMO,0.17
WHIS64,JUOS,0.03
WHIS64,PIMO,0.08
WHIS64120,JUOS,0.03
WHIS64120,PIMO,0.13
WHIS64240,PIMO,0.09
WHIS64360,PIMO,0.04
