Species,Mean  cover (%),Percent of quadrats present,Percent of plots present
Poa secunda,3.944,68.08,97.06
Artemisia tridentata vaseyana,1.762,9.49,36.27
Artemisia arbuscula,1.635,12.94,43.14
Bromus tectorum,0.958,14.59,47.06
Symphoricarpos oreophilus,0.618,2.75,3.92
Artemisia tridentata wyomingensis,0.472,2.90,14.71
Phlox hoodii,0.327,7.99,33.33
Pseudoregneria spicata,0.226,5.00,14.71
Stenotus acaulis,0.206,5.09,15.69
Eriogonum caespitosum,0.164,4.00,17.65
Ephedra viridis,0.161,1.55,17.65
Chrysothamnus viscidiflorus,0.143,2.00,9.80
Elymus elymoides,0.142,7.04,48.04
Leymus cinereus,0.108,0.60,3.92
Leptodactylon pungens,0.103,4.50,25.49
Minuartia kingii,0.080,3.05,14.71
Ribes cereum,0.063,0.30,2.94
Eriogonum umbellatum,0.062,0.70,3.92
Purshia tridentata,0.055,0.25,1.96
Alyssum desertorum,0.054,2.45,3.92
Gallium aparine,0.053,0.55,2.94
Amelanchier utahensis,0.052,0.45,1.96
Lesquerella kingii,0.049,1.25,2.94
Ericameria nauseosa,0.034,0.25,4.90
Descurainea pinnata,0.033,1.60,13.73
Festuca idahoensis,0.031,1.75,12.75
Cryptantha flavoculatus,0.025,1.65,8.82
Astragalus purshii,0.024,2.25,17.65
Balsamorhyza sagittata,0.024,0.65,6.86
Lepidium perfoliatum,0.023,0.50,2.94
Collinsia parviflora,0.022,1.10,3.92
Streptanthus cordatus,0.021,1.40,7.84
Astragalus oophorus,0.021,0.90,5.88
Eriogonum microthecum,0.020,1.10,10.78
Holodiscus dumosus,0.017,0.15,1.96
Arabis holboellii,0.016,1.25,13.73
Opuntia polyacantha,0.015,0.20,2.94
Phlox longifolia,0.013,0.90,3.92
Trifolium andersonii,0.012,0.75,4.90
Petradoria pumila,0.010,0.45,1.96
Antennaria dimorpha,0.009,0.75,5.88
Astragalus filipes,0.009,0.50,6.86
Achnatherum thurberiana,0.009,0.40,4.90
Senecio integerrimus,0.009,0.50,2.94
Sisymbrium altissium,0.008,0.15,1.96
Melica bulbosa,0.007,0.05,0.98
Collomia tinctoria,0.007,0.55,2.94
Eriophyllum lanatum,0.006,0.30,1.96
Mertensia oblongifolia,0.006,0.40,2.94
Unknown,0.006,0.25,2.94
Erigeron aphanactis,0.005,0.35,3.92
Mahonia repens,0.005,0.20,0.98
Crepis acuminata,0.005,0.35,5.88
Machaeranthera canescens,0.005,0.05,0.98
Cryptantha watsonii,0.004,0.30,1.96
Hydrophyllum capitatum,0.004,0.30,1.96
Chrysothamnus discoidea,0.003,0.10,0.98
Lupinus argenteus,0.003,0.15,1.96
Gayophytum diffusum,0.003,0.15,0.98
Lupinus brevicaulis,0.003,0.30,2.94
Agoseris glauca,0.002,0.25,1.96
Escobaria vivipara,0.002,0.20,1.96
Packera multilobata,0.002,0.20,2.94
Arabis sparsiflora,0.001,0.15,0.98
Astragalus calycosus,0.001,0.15,1.96
Erigeron argenteus,0.001,0.15,0.98
Heuchera parvifolia,0.001,0.05,0.98
Polygonum douglasii,0.001,0.15,2.94
Ranunculus andersonii,0.001,0.15,1.96
Chorispora tenella,0.001,0.10,0.98
Cryptantha cinerea,0.001,0.10,0.98
Eriogonum baileyi,0.001,0.10,1.96
Erigeron condensatus,0.001,0.10,0.98
Ranunculus testiculatus,0.001,0.10,1.96
Viola purpurea,0.001,0.10,1.96
Wyethia mollis,0.001,0.10,0.98
Arabis x divericarpa,<0.001,0.05,0.98
Castilleja linariifolia,<0.001,0.05,0.98
Caulanthus crassicaulis,<0.001,0.05,0.98
Chaenactis douglasii,<0.001,0.05,0.98
Eriogonum ovalifolium,<0.001,0.05,0.98
Gilia inconspicua,<0.001,0.05,0.98
Penstemon eatonii,<0.001,0.05,0.98
Penstemon kingii,<0.001,0.05,0.98
Penstemon speciosus,<0.001,0.05,0.98
Zigadenus venenosus,<0.001,0.05,0.98
